bioguide_id,last_name,first_name,party,state,district,vote
A000370,Adams,Alma S.,D,NC,12th,No
A000055,Aderholt,Robert B.,R,AL,4th,Aye
A000371,Aguilar,Pete,D,CA,33rd,No
A000379,Alford,Mark,R,MO,4th,Aye
A000372,Allen,Rick W.,R,GA,12th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000376,,,,,,No
A000380,Amo,Gabe,D,RI,1st,No
A000369,Amodei,Mark E.,R,NV,2nd,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000377,,,,,,Aye
A000375,Arrington,Jodey C.,R,TX,19th,Aye
A000148,Auchincloss,Jake,D,MA,4th,No
B001291,Babin,Brian,R,TX,36th,Aye
B001298,Bacon,Don,R,NE,2nd,Aye
B001307,Baird,James R.,R,IN,4th,Aye
B001306,Balderson,Troy,R,OH,12th,Aye
B001318,Balint,Becca,D,VT,At Large,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001299,,,,,,Aye
B001282,Barr,Andy,R,KY,6th,Aye
B001300,Barragán,Nanette Diaz,D,CA,44th,No
B001314,Bean,Aaron,R,FL,4th,Aye
B001281,Beatty,Joyce,D,OH,3rd,No
B000668,Bentz,Cliff,R,OR,2nd,Aye
B001287,Bera,Ami,D,CA,6th,No
B001301,Bergman,Jack,R,MI,1st,Aye
B001292,Beyer,Donald S. Jr.,D,VA,8th,No
B000740,Bice,Stephanie I.,R,OK,5th,Aye
B001302,Biggs,Andy,R,AZ,5th,Aye
B001257,Bilirakis,Gus M.,R,FL,12th,Aye
B000490,Bishop,Sanford D. Jr.,D,GA,2nd,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001311,,,,,,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000574,,,,,,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001303,,,,,,No
B000825,Boebert,Lauren,R,CO,4th,Aye
B001278,Bonamici,Suzanne,D,OR,1st,No
B001295,Bost,Mike,R,IL,12th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001223,,,,,,No
B001296,Boyle,Brendan F.,D,PA,2nd,No
B001317,Brecheen,Josh,R,OK,2nd,Aye
B001313,Brown,Shontel M.,D,OH,11th,No
B001285,Brownley,Julia,D,CA,26th,No
B001260,Buchanan,Vern,R,FL,16th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001297,,,,,,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001275,,,,,,Aye
B001315,Budzinski,Nikki,D,IL,13th,No
B001309,Burchett,Tim,R,TN,2nd,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001248,,,,,,Aye
B001316,Burlison,Eric,R,MO,7th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001224,,,,,,No
C000059,Calvert,Ken,R,CA,41st,Aye
C001039,Cammack,Kat,R,FL,3rd,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001134,,,,,,No
C001112,Carbajal,Salud O.,D,CA,24th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001097,,,,,,No
C001126,Carey,Mike,R,OH,15th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001054,,,,,,Aye
C001072,Carson,André,D,IN,7th,No
C001103,Carter,"Earl L. ""Buddy""",R,GA,1st,Aye
C001125,Carter,Troy A.,D,LA,2nd,No
C001051,Carter,John R.,R,TX,31st,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001090,,,,,,No
C001131,Casar,Greg,D,TX,35th,No
C001055,Case,Ed,D,HI,1st,No
C001117,Casten,Sean,D,IL,6th,No
C001066,Castor,Kathy,D,FL,14th,No
C001091,Castro,Joaquin,D,TX,20th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001135,,,,,,Aye
C001127,Cherfilus-McCormick,Sheila,D,FL,20th,No
C001080,Chu,Judy,D,CA,28th,No
C001133,Ciscomani,Juan,R,AZ,6th,Aye
C001101,Clark,Katherine M.,D,MA,5th,No
C001067,Clarke,Yvette D.,D,NY,9th,No
C001061,Cleaver,Emanuel,D,MO,5th,No
C001118,Cline,Ben,R,VA,6th,Aye
C001115,Cloud,Michael,R,TX,27th,Aye
C000537,Clyburn,James E.,D,SC,6th,No
C001116,Clyde,Andrew S.,R,GA,9th,Aye
C001068,Cohen,Steve,D,TN,9th,No
C001053,Cole,Tom,R,OK,4th,Aye
C001129,Collins,Mike,R,GA,10th,Aye
C001108,Comer,James,R,KY,1st,Aye
C001078,Connolly,Gerald E.,D,VA,11th,No
C001110,Correa,J. Luis,D,CA,46th,No
C001059,Costa,Jim,D,CA,21st,Not Voting
C001069,Courtney,Joe,D,CT,2nd,No
C001119,Craig,Angie,D,MN,2nd,No
C001132,Crane,Elijah,R,AZ,2nd,Aye
C001087,Crawford,"Eric A. ""Rick""",R,AR,1st,Aye
C001120,Crenshaw,Dan,R,TX,2nd,Aye
C001130,Crockett,Jasmine,D,TX,30th,No
C001121,Crow,Jason,D,CO,6th,No
C001063,Cuellar,Henry,D,TX,28th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001114,,,,,,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000632,,,,,,Aye
D000629,Davids,Sharice,D,KS,3rd,No
D000626,Davidson,Warren,R,OH,8th,Aye
D000096,Davis,Danny K.,D,IL,7th,Not Voting
D000230,Davis,Donald G.,D,NC,1st,No
D000594,De La Cruz,Monica,R,TX,15th,Aye
D000631,Dean,Madeleine,D,PA,4th,No
D000197,DeGette,Diana,D,CO,1st,No
D000216,DeLauro,Rosa L.,D,CT,3rd,No
D000617,DelBene,Suzan K.,D,WA,1st,No
D000530,Deluzio,Christopher R.,D,PA,17th,No
D000623,DeSaulnier,Mark,D,CA,10th,No
D000616,DesJarlais,Scott,R,TN,4th,Aye
D000600,Diaz-Balart,Mario,R,FL,26th,Aye
D000624,Dingell,Debbie,D,MI,6th,No
D000399,Doggett,Lloyd,D,TX,37th,No
D000032,Donalds,Byron,R,FL,19th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000633,,,,,,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000615,,,,,,Aye
D000628,Dunn,Neal P.,R,FL,2nd,Aye
E000246,Edwards,Chuck,R,NC,11th,Aye
E000071,Ellzey,Jake,R,TX,6th,Aye
E000294,Emmer,Tom,R,MN,6th,Aye
E000299,Escobar,Veronica,D,TX,16th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000215,,,,,,No
E000297,Espaillat,Adriano,D,NY,13th,No
E000298,Estes,Ron,R,KS,4th,Aye
E000296,Evans,Dwight,D,PA,3rd,No
E000235,Ezell,Mike,R,MS,4th,Aye
F000246,Fallon,Pat,R,TX,4th,Aye
F000446,Feenstra,Randy,R,IA,4th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000465,,,,,,Aye
F000475,Finstad,Brad,R,MN,1st,Aye
F000470,Fischbach,Michelle,R,MN,7th,Aye
F000471,Fitzgerald,Scott,R,WI,5th,Aye
F000466,Fitzpatrick,Brian K.,R,PA,1st,Aye
F000459,Fleischmann,"Charles J. ""Chuck""",R,TN,3rd,Aye
F000468,Fletcher,Lizzie,D,TX,7th,No
F000474,Flood,Mike,R,NE,1st,Aye
F000454,Foster,Bill,D,IL,11th,No
F000477,Foushee,Valerie P.,D,NC,4th,No
F000450,Foxx,Virginia,R,NC,5th,Aye
F000462,Frankel,Lois,D,FL,22nd,Not Voting
F000472,Franklin,Scott,R,FL,18th,Aye
F000476,Frost,Maxwell,D,FL,10th,No
F000478,Fry,Russell,R,SC,7th,Aye
F000469,Fulcher,Russ,R,ID,1st,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000578,,,,,,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000579,,,,,,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000574,,,,,,No
G000559,Garamendi,John,D,CA,8th,No
G000597,Garbarino,Andrew R.,R,NY,2nd,Aye
G000586,García,"Jesús G. ""Chuy""",D,IL,4th,No
G000587,Garcia,Sylvia R.,D,TX,29th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000061,,,,,,Aye
G000598,Garcia,Robert,D,CA,42nd,No
G000593,Gimenez,Carlos A.,R,FL,28th,Aye
G000592,Golden,Jared F.,D,ME,2nd,Not Voting
G000599,Goldman,Daniel S.,D,NY,10th,No
G000585,Gomez,Jimmy,D,CA,34th,Not Voting
G000594,Gonzales,Tony,R,TX,23rd,Aye
G000581,Gonzalez,Vicente,D,TX,34th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000595,,,,,,Aye
G000589,Gooden,Lance,R,TX,5th,Aye
G000565,Gosar,Paul A.,R,AZ,9th,Not Voting
G000583,Gottheimer,Josh,D,NJ,5th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000377,,,,,,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000577,,,,,,Aye
G000546,Graves,Sam,R,MO,6th,Aye
G000590,Green,Mark E.,R,TN,7th,Aye
G000553,Green,Al,D,TX,9th,No
G000596,Greene,Marjorie Taylor,R,GA,14th,Aye
G000568,Griffith,H. Morgan,R,VA,9th,Aye
G000551,Grijalva,Raúl M.,D,AZ,7th,Not Voting
G000576,Grothman,Glenn,R,WI,6th,Aye
G000591,Guest,Michael,R,MS,3rd,Aye
G000558,Guthrie,Brett,R,KY,2nd,Aye
H001096,Hageman,Harriet M.,R,WY,At Large,Aye
H001090,Harder,Josh,D,CA,9th,Not Voting
H001052,Harris,Andy,R,MD,1st,Aye
H001086,Harshbarger,Diana,R,TN,1st,Aye
H001081,Hayes,Jahana,D,CT,5th,No
H001082,Hern,Kevin,R,OK,1st,Aye
H001077,Higgins,Clay,R,LA,3rd,Aye
H001072,Hill,J. French,R,AR,2nd,Aye
H001047,Himes,James A.,D,CT,4th,No
H001091,Hinson,Ashley,R,IA,2nd,Aye
H001066,Horsford,Steven,D,NV,4th,No
H001093,Houchin,Erin,R,IN,9th,Aye
H001085,Houlahan,Chrissy,D,PA,6th,No
H000874,Hoyer,Steny H.,D,MD,5th,No
H001094,Hoyle,Val T.,D,OR,4th,No
H001067,Hudson,Richard,R,NC,9th,Aye
H001068,Huffman,Jared,D,CA,2nd,No
H001058,Huizenga,Bill,R,MI,4th,Aye
H001095,Hunt,Wesley,R,TX,38th,Aye
I000056,Issa,Darrell,R,CA,48th,Aye
I000058,Ivey,Glenn,D,MD,4th,No
J000309,Jackson,Jonathan L.,D,IL,1st,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000308,,,,,,No
J000304,Jackson,Ronny,R,TX,13th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000032,,,,,,No
J000305,Jacobs,Sara,D,CA,51st,No
J000307,James,John,R,MI,10th,Aye
J000298,Jayapal,Pramila,D,WA,7th,No
J000294,Jeffries,Hakeem S.,D,NY,8th,No
J000288,Johnson,"Henry C. ""Hank"" Jr.",D,GA,4th,No
J000299,Johnson,Mike,R,LA,4th,Aye
J000301,Johnson,Dusty,R,SD,At Large,Aye
J000289,Jordan,Jim,R,OH,4th,Aye
J000295,Joyce,David P.,R,OH,14th,Aye
J000302,Joyce,John,R,PA,13th,Aye
K000400,Kamlager-Dove,Sydney,D,CA,37th,No
K000009,Kaptur,Marcy,D,OH,9th,No
K000398,Kean,Thomas H. Jr.,R,NJ,7th,Aye
K000375,Keating,William R.,D,MA,9th,No
K000385,Kelly,Robin L.,D,IL,2nd,No
K000388,Kelly,Trent,R,MS,1st,Aye
K000376,Kelly,Mike,R,PA,16th,Aye
K000389,Khanna,Ro,D,CA,17th,No
K000399,Kiggans,Jennifer A.,R,VA,2nd,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000380,,,,,,Not Voting
K000401,Kiley,Kevin,R,CA,3rd,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000381,,,,,,No
K000397,Kim,Young,R,CA,40th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000394,,,,,,No
K000391,Krishnamoorthi,Raja,D,IL,8th,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000382,,,,,,No
K000392,Kustoff,David,R,TN,8th,Aye
L000585,LaHood,Darin,R,IL,16th,Aye
L000598,LaLota,Nick,R,NY,1st,Aye
L000578,LaMalfa,Doug,R,CA,1st,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000564,,,,,,Aye
L000601,Landsman,Greg,D,OH,1st,No
L000600,Langworthy,Nicholas A.,R,NY,23rd,Aye
L000560,Larsen,Rick,D,WA,2nd,No
L000557,Larson,John B.,D,CT,1st,No
L000566,Latta,Robert E.,R,OH,5th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000266,,,,,,Aye
L000599,Lawler,Michael,R,NY,17th,Aye
http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000551,,,,,,Not Voting
L000597,Lee,Laurel M.,R,FL,15th,Aye
L000590,Lee,Susie,D,NV,3rd,No
L000602,Lee,Summer L.,D,PA,12th,No
L000273,Leger Fernandez,Teresa,D,NM,3rd,No
http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000589,,,,,,Aye
